사업코드,사업명,충전소명,종류,단계,주소,상세위치,신청기관,충전기 용량,CILI 등급,CILI 점수,신청일자,제출자,총괄기관,부지분류,시설 구분(대),시설 구분(소),부지정보,시도,시군구,위도,경도
ME26A,26년(1권역 일반),주적체육공원,신규,신규 접수,인천광역시 남동구 도림동 412,주적체육공원 주차장,지자체,급속(200kW동시),2,0.6444043,2026-03-25 09:03,생활경제과,남동구청,지자체,공공시설,지자체시설,,인천광역시,남동구,126.7247765,37.4137534
ME26A,26년(1권역 일반),주적체육공원,신규,신규 접수,인천광역시 남동구 도림동 412,주적체육공원 주차장,지자체,급속(200kW동시),2,0.6444043,2026-03-25 09:03,생활경제과,남동구청,지자체,공공시설,지자체시설,,인천광역시,남동구,126.7247765,37.4137534
ME26A,26년(1권역 일반),늘솔길근린공원(김미현골프장),신규,신규 접수,인천광역시 남동구 논현동 763-1,늘솔길근린공원(김미현골프장) 주차장,지자체,급속(200kW동시),5,0,2026-03-25 09:03,생활경제과,남동구청,지자체,공공시설,지자체시설,,인천광역시,남동구,126.7136401,37.3844594
ME26A,26년(1권역 일반),늘솔길근린공원(김미현골프장),신규,신규 접수,인천광역시 남동구 논현동 763-1,늘솔길근린공원(김미현골프장) 주차장,지자체,급속(200kW동시),5,0,2026-03-25 09:03,생활경제과,남동구청,지자체,공공시설,지자체시설,,인천광역시,남동구,126.7136401,37.3844594
ME26A,26년(1권역 일반),늘솔길근린공원(김미현골프장),신규,신규 접수,인천광역시 남동구 논현동 763-1,늘솔길근린공원(김미현골프장) 주차장,지자체,급속(200kW동시),5,0,2026-03-25 09:03,생활경제과,남동구청,지자체,공공시설,지자체시설,,인천광역시,남동구,126.7136401,37.3844594
ME26A,26년(1권역 일반),늘솔길근린공원(김미현골프장),신규,신규 접수,인천광역시 남동구 논현동 763-1,늘솔길근린공원(김미현골프장) 주차장,지자체,급속(200kW동시),5,0,2026-03-25 09:03,생활경제과,남동구청,지자체,공공시설,지자체시설,,인천광역시,남동구,126.7136401,37.3844594
ME26A,26년(1권역 일반),논현포대근린공원(운동장),신규,신규 접수,인천광역시 남동구 논현동 578-1,논현포대근린공원(운동장) 주차장,지자체,급속(200kW동시),2,0.6273921,2026-03-25 09:03,생활경제과,남동구청,공공,공공시설,지자체시설,,인천광역시,남동구,126.7086517,37.4080703
ME26A,26년(1권역 일반),논현포대근린공원(운동장),신규,신규 접수,인천광역시 남동구 논현동 578-1,논현포대근린공원(운동장) 주차장,지자체,급속(200kW동시),2,0.6273921,2026-03-25 09:03,생활경제과,남동구청,공공,공공시설,지자체시설,,인천광역시,남동구,126.7086517,37.4080703
ME26A,26년(1권역 일반),국립환경과학원,신규,신규 접수,"인천광역시 서구 환경로 42 (오류동,국립생물자원관)",종합환경연구단지 내 국립환경과학원,,급속(200kW동시),2,0.5450001,2026-02-13 16:02,기후에너지환경부,국립환경과학원,국가,공공시설,관공서,,인천광역시,서구,126.6434489,37.5695222
ME26A,26년(1권역 일반),국립환경과학원,신규,신규 접수,"인천광역시 서구 환경로 42 (오류동,국립생물자원관)",종합환경연구단지 내 국립환경과학원,,급속(200kW동시),2,0.5450001,2026-02-13 16:02,기후에너지환경부,국립환경과학원,국가,공공시설,관공서,,인천광역시,서구,126.6434489,37.5695222
ME26A,26년(1권역 일반),아차도리 마을회관 ,신규,신규 접수,인천광역시 강화군 서도면 아차도리 25,마을회관,지자체,급속(200kW동시),4,0.4187014,2026-02-10 11:02,기초지자체,서도면사무소,민간,공공시설,지자체시설,,인천광역시,강화군,126.2282216,37.6599973
ME26A,26년(1권역 일반),아차도리 마을회관 ,신규,신규 접수,인천광역시 강화군 서도면 아차도리 25,마을회관,지자체,급속(200kW동시),4,0.4187014,2026-02-10 11:02,기초지자체,서도면사무소,민간,공공시설,지자체시설,,인천광역시,강화군,126.2282216,37.6599973
ME26A,26년(1권역 일반),선원면사무소,신규,신규 접수,인천광역시 강화군 선원면 금월리 255-1,금월리 255-1번지외 7필지 ,지자체,급속(200kW동시),1,1,2026-02-05 17:02,경제교통과,강화군청,지자체,공공시설,주민센터,,인천광역시,강화군,126.4854175,37.7117718
ME26A,26년(1권역 일반),선원면사무소,신규,신규 접수,인천광역시 강화군 선원면 금월리 255-1,금월리 255-1번지외 7필지 ,지자체,급속(100kW단독),1,1,2026-02-05 17:02,경제교통과,강화군청,지자체,공공시설,주민센터,,인천광역시,강화군,126.4854175,37.7117718
ME26A,26년(1권역 일반),선원면사무소,신규,신규 접수,인천광역시 강화군 선원면 금월리 255-1,금월리 255-1번지외 7필지 ,지자체,급속(100kW단독),1,1,2026-02-05 17:02,경제교통과,강화군청,지자체,공공시설,주민센터,,인천광역시,강화군,126.4854175,37.7117718
ME26A,26년(1권역 일반),선원면사무소,신규,신규 접수,인천광역시 강화군 선원면 금월리 255-1,금월리 255-1번지외 7필지 ,지자체,급속(200kW동시),1,1,2026-02-05 17:02,경제교통과,강화군청,지자체,공공시설,주민센터,,인천광역시,강화군,126.4854175,37.7117718
ME26A,26년(1권역 일반),삼산면 매음리 제1공영주차장,신규,신규 접수,인천광역시 강화군 삼산면 매음리 641-10,매음리 제1공영주차장,지자체,급속(100kW단독),4,0.488383,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.3163775,37.6851974
ME26A,26년(1권역 일반),선수항 공영주차장,신규,신규 접수,인천광역시 강화군 화도면 내리 1838-3,선수항 공영주차장,지자체,급속(200kW동시),2,0.4538388,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.3849189,37.6385363
ME26A,26년(1권역 일반),선수항 공영주차장,신규,신규 접수,인천광역시 강화군 화도면 내리 1838-3,선수항 공영주차장,지자체,급속(200kW동시),2,0.4538388,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.3849189,37.6385363
ME26A,26년(1권역 일반),온수리 제3공영주차장,신규,신규 접수,인천광역시 강화군 길상면 온수리 502-3,온수리 제3공영주차장,지자체,급속(200kW동시),2,0.6233404,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.4913248,37.6416279
ME26A,26년(1권역 일반),온수리 제3공영주차장,신규,신규 접수,인천광역시 강화군 길상면 온수리 502-3,온수리 제3공영주차장,지자체,급속(100kW단독),2,0.6233404,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.4913248,37.6416279
ME26A,26년(1권역 일반),온수리 제3공영주차장,신규,신규 접수,인천광역시 강화군 길상면 온수리 502-3,온수리 제3공영주차장,지자체,급속(200kW동시),2,0.6233404,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.4913248,37.6416279
ME26A,26년(1권역 일반),내가면 외포리 공영주차장,신규,신규 접수,인천광역시 강화군 내가면 외포리 763-79,외포리 공영주차장,지자체,급속(200kW동시),3,0.5385197,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.383957,37.7004524
ME26A,26년(1권역 일반),내가면 외포리 공영주차장,신규,신규 접수,인천광역시 강화군 내가면 외포리 763-79,외포리 공영주차장,지자체,급속(200kW동시),3,0.5385197,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.383957,37.7004524
ME26A,26년(1권역 일반),교동면 대룡리 공영주차장,신규,신규 접수,인천광역시 강화군 교동면 대룡리 449-2,대룡리 공영주차장,지자체,급속(200kW동시),3,0.8902619,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.2788838,37.7818715
ME26A,26년(1권역 일반),교동면 대룡리 공영주차장,신규,신규 접수,인천광역시 강화군 교동면 대룡리 449-2,대룡리 공영주차장,지자체,급속(200kW동시),3,0.8902619,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.2788838,37.7818715
ME26A,26년(1권역 일반),강화읍 관청 제1공영주차장,신규,신규 접수,인천광역시 강화군 강화읍 관청리 931,강화읍 관청 제1공영주차장,지자체,급속(100kW단독),2,0.9460383,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.4787282,37.7524484
ME26A,26년(1권역 일반),강화읍 남문 공영주차장,신규,신규 접수,인천광역시 강화군 강화읍 신문리 4-1,강화읍 남문 공영주차장,지자체,급속(100kW단독),1,0.9755697,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.4857884,37.7457906
ME26A,26년(1권역 일반),강화읍 신문리 공영주차장,신규,신규 접수,인천광역시 강화군 강화읍 신문리 596,강화읍 신문리 공영주차장,지자체,급속(100kW단독),1,0.9755697,2026-02-06 23:02,도로교통과,인천광역시 강화군,지자체,주차시설,공영주차장,,인천광역시,강화군,126.4784422,37.7472673
ME26A,26년(1권역 일반),백령공영주차장(진촌1리),신규,신규 접수,인천광역시 옹진군 백령면 진촌리 701-6,15010,지자체,급속(200kW동시),2,0.9388263,2026-02-02 16:02,경제정책과,옹진군청,지자체,주차시설,공영주차장,,인천광역시,옹진군,124.7198955,37.9711566
ME26A,26년(1권역 일반),백령공영주차장(진촌1리),신규,신규 접수,인천광역시 옹진군 백령면 진촌리 701-6,15010,지자체,급속(200kW동시),2,0.9388263,2026-02-02 16:02,경제정책과,옹진군청,지자체,주차시설,공영주차장,,인천광역시,옹진군,124.7198955,37.9711566
ME26A,26년(1권역 일반),장봉선착장,신규,신규 접수,인천광역시 옹진군 북도면 장봉리 산 6-57,15010,지자체,급속(100kW단독),5,0,2026-02-02 16:02,경제정책과,옹진군청,지자체,주차시설,공영주차장,,인천광역시,옹진군,126.3838939,37.5318794
ME26A,26년(1권역 일반),옹암해수욕장,신규,신규 접수,인천광역시 옹진군 북도면 장봉리 59-12,15010,지자체,급속(200kW동시),4,0.318289,2026-02-02 16:02,경제정책과,옹진군청,지자체,주차시설,공영주차장,,인천광역시,옹진군,126.3727392,37.5300416
ME26A,26년(1권역 일반),옹암해수욕장,신규,신규 접수,인천광역시 옹진군 북도면 장봉리 59-12,15010,지자체,급속(200kW동시),4,0.318289,2026-02-02 16:02,경제정책과,옹진군청,지자체,주차시설,공영주차장,,인천광역시,옹진군,126.3727392,37.5300416
ME25A,25년(1권역 일반),아라파크웨이 공영주차장,신규,부지 사용 협약,인천광역시 계양구 평동 17-15,계양구 평동 35-23 일원 (아라파크웨이 공영주차장),지자체,급속(100kW단독),5,0,2026-03-31 13:03,충전인프라사업부,인천광역시,지자체,주차시설,공영주차장,,인천광역시,계양구,126.7733907,37.5834957
ME25A,25년(1권역 일반),아라파크웨이 공영주차장,신규,부지 사용 협약,인천광역시 계양구 평동 17-15,계양구 평동 35-23 일원 (아라파크웨이 공영주차장),지자체,급속(100kW단독),5,0,2026-03-31 13:03,충전인프라사업부,인천광역시,지자체,주차시설,공영주차장,,인천광역시,계양구,126.7733907,37.5834957
ME26A,26년(1권역 일반),함박마을공영주차장,신규,신규 접수,인천광역시 연수구 연수동 514,연수구 연수동 514 함박마을공영주차장,지자체,급속(100kW단독),2,0.6991756,2026-02-02 14:02,광역지자체,인천광역시,지자체,주차시설,공영주차장,,인천광역시,연수구,126.6827892,37.4261971
ME26A,26년(1권역 일반),함박마을공영주차장,신규,신규 접수,인천광역시 연수구 연수동 514,연수구 연수동 514 함박마을공영주차장,지자체,급속(100kW단독),2,0.6991756,2026-02-02 14:02,광역지자체,인천광역시,지자체,주차시설,공영주차장,,인천광역시,연수구,126.6827892,37.4261971
ME26A,26년(1권역 일반),함박마을공영주차장,신규,신규 접수,인천광역시 연수구 연수동 514,연수구 연수동 514 함박마을공영주차장,지자체,급속(100kW단독),2,0.6991756,2026-02-03 17:02,충전인프라사업부,인천광역시,지자체,주차시설,공영주차장,,인천광역시,연수구,126.6827892,37.4261971
ME25A,25년(1권역 일반),갈산2동행정복지센터,신규,현장 조사,"인천광역시 부평구 주부토로 173 (갈산동,갈산2동주민센터)",1층,지자체,급속(100kW단독),1,0.8429849,2026-02-27 08:02,이브이시스,갈산2동행정복지센터,지자체,공공시설,주민센터,,인천광역시,부평구,126.7257097,37.5107634
ME26A,26년(1권역 일반),강화군 생활체육센터,신규,신규 접수,인천광역시 강화군 선원면 신정리 700,강화군 생활체육센터,지자체,급속(100kW단독),2,0.9498668,2025-12-24 10:12,기초지자체,강화군청,지자체,공공시설,지자체시설,,인천광역시,강화군,126.509409,37.7299078
ME26A,26년(1권역 일반),인천환경공단 자원순환지원센터,신규,신규 접수,인천광역시 연수구 인천신항대로892번길 40 (송도동),인천환경공단 자원순환지원센터,지자체,급속(100kW단독),4,0.2,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,공공시설,공공기관,,인천광역시,연수구,126.6185423,37.3513621
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,"인천광역시 서구 로봇랜드로249번길 38 (청라동,청라생활폐기물소각처리시설)",생태공원주차장,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,"인천광역시 서구 로봇랜드로249번길 38 (청라동,청라생활폐기물소각처리시설)",생태공원주차장,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,"인천광역시 서구 로봇랜드로249번길 38 (청라동,청라생활폐기물소각처리시설)",생태공원주차장,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,"인천광역시 서구 로봇랜드로249번길 38 (청라동,청라생활폐기물소각처리시설)",생태공원주차장,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,,,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,,,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,,,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
ME26A,26년(1권역 일반),인천환경공단 청라사업소 생태공원주차장,신규,신규 접수,,,지자체,급속(200kW동시),3,0.445435,2025-12-12 16:12,에너지산업과,인천환경공단,지자체,주차시설,공원주차장,,인천광역시,서구,126.6073482,37.5309753
